symbol,score,tags,close
NETWEB.NS,55,"ABSORPTION,PHASE_D",4002.0
DCMSHRIRAM.NS,55,"ABSORPTION,PHASE_D",1204.0999755859375
DEEPAKNTR.NS,55,"ABSORPTION,PHASE_D",1745.5
DELHIVERY.NS,55,"ABSORPTION,PHASE_D",462.7000122070313
SPLPETRO.NS,55,"ABSORPTION,PHASE_D",804.1500244140625
AURUM.NS,55,"ABSORPTION,PHASE_D",186.9499969482422
AVL.NS,55,"ABSORPTION,PHASE_D",508.3500061035156
AXISCADES.NS,55,"ABSORPTION,PHASE_D",1925.9000244140625
AZAD.NS,55,"ABSORPTION,PHASE_D",1950.4000244140625
CUPID.NS,55,"ABSORPTION,PHASE_D",112.94000244140624
CYIENTDLM.NS,55,"ABSORPTION,PHASE_D",375.25
DATAPATTNS.NS,55,"ABSORPTION,PHASE_D",3828.300048828125
NTPC.NS,55,"ABSORPTION,PHASE_D",405.3999938964844
NUVAMA.NS,55,"ABSORPTION,PHASE_D",1371.699951171875
OCCLLTD.NS,55,"ABSORPTION,PHASE_D",103.36000061035156
OFSS.NS,55,"ABSORPTION,PHASE_D",8126.5
OMAXE.NS,55,"ABSORPTION,PHASE_D",83.0999984741211
ONMOBILE.NS,55,"ABSORPTION,PHASE_D",55.09000015258789
PAISALO.NS,55,"ABSORPTION,PHASE_D",46.04999923706055
PANACEABIO.NS,55,"ABSORPTION,PHASE_D",363.7999877929688
PARADEEP.NS,55,"ABSORPTION,PHASE_D",136.27000427246094
BCLIND.NS,55,"ABSORPTION,PHASE_D",34.84000015258789
SIEMENS.NS,55,"ABSORPTION,PHASE_D",3844.300048828125
SJVN.NS,55,"ABSORPTION,PHASE_D",80.8499984741211
SKIPPER.NS,55,"ABSORPTION,PHASE_D",471.8500061035156
PARAS.NS,55,"ABSORPTION,PHASE_D",817.0
PNBHOUSING.NS,55,"ABSORPTION,PHASE_D",990.25
CGPOWER.NS,55,"ABSORPTION,PHASE_D",824.3499755859375
CHAMBLFERT.NS,55,"ABSORPTION,PHASE_D",452.2999877929688
CHENNPETRO.NS,55,"ABSORPTION,PHASE_D",1071.4000244140625
PRAJIND.NS,55,"ABSORPTION,PHASE_D",382.7999877929688
PREMEXPLN.NS,55,"ABSORPTION,PHASE_D",535.3499755859375
PRIMO.NS,55,"ABSORPTION,PHASE_D",24.25
PRIVISCL.NS,55,"ABSORPTION,PHASE_D",3163.300048828125
PROZONER.NS,55,"ABSORPTION,PHASE_D",64.6500015258789
BLACKBUCK.NS,55,"ABSORPTION,PHASE_D",622.0499877929688
SANGHVIMOV.NS,55,"ABSORPTION,PHASE_D",316.8599853515625
SANSERA.NS,55,"ABSORPTION,PHASE_D",2547.0
SARLAPOLY.NS,55,"ABSORPTION,PHASE_D",98.5500030517578
SATIA.NS,55,"ABSORPTION,PHASE_D",74.44999694824219
SCHAEFFLER.NS,55,"ABSORPTION,PHASE_D",4288.7998046875
SCODATUBES.NS,55,"ABSORPTION,PHASE_D",154.99000549316406
SDBL.NS,55,"ABSORPTION,PHASE_D",95.87000274658205
BALRAMCHIN.NS,55,"ABSORPTION,PHASE_D",541.5499877929688
CEIGALL.NS,55,"ABSORPTION,PHASE_D",326.3500061035156
RAYMOND.NS,55,"ABSORPTION,PHASE_D",455.2000122070313
CANFINHOME.NS,55,"ABSORPTION,PHASE_D",912.2999877929688
RENUKA.NS,55,"ABSORPTION,PHASE_D",28.57999992370605
REPCOHOME.NS,55,"ABSORPTION,PHASE_D",423.6499938964844
RISHABH.NS,55,"ABSORPTION,PHASE_D",504.0499877929688
RKFORGE.NS,55,"ABSORPTION,PHASE_D",556.9500122070312
RPOWER.NS,55,"ABSORPTION,PHASE_D",30.25
BLISSGVS.NS,55,"ABSORPTION,PHASE_D",273.5899963378906
BEML.NS,55,"ABSORPTION,PHASE_D",1830.9000244140625
BHAGCHEM.NS,55,"ABSORPTION,PHASE_D",266.4200134277344
BIKAJI.NS,55,"ABSORPTION,PHASE_D",684.9000244140625
BIRLACABLE.NS,55,"ABSORPTION,PHASE_D",165.0
ZENTEC.NS,55,"ABSORPTION,PHASE_D",1762.4000244140625
ZIMLAB.NS,55,"ABSORPTION,PHASE_D",87.19000244140625
HINDUNILVR.NS,55,"ABSORPTION,PHASE_D",2368.800048828125
HINDZINC.NS,55,"ABSORPTION,PHASE_D",604.75
HITECH.NS,55,"ABSORPTION,PHASE_D",91.61000061035156
HBLENGINE.NS,55,"ABSORPTION,PHASE_D",816.4000244140625
HCC.NS,55,"ABSORPTION,PHASE_D",20.18000030517578
HFCL.NS,55,"ABSORPTION,PHASE_D",100.37000274658205
ADANIPOWER.NS,55,"ABSORPTION,PHASE_D",215.6499938964844
ADFFOODS.NS,55,"ABSORPTION,PHASE_D",233.52999877929688
ABB.NS,55,"ABSORPTION,PHASE_D",7587.0
ACE.NS,55,"ABSORPTION,PHASE_D",934.4000244140624
ADANIENSOL.NS,55,"ABSORPTION,PHASE_D",1368.0999755859375
ADANIENT.NS,55,"ABSORPTION,PHASE_D",2260.800048828125
WALCHANNAG.NS,55,"ABSORPTION,PHASE_D",213.9199981689453
3IINFOLTD.NS,40,"ABSORPTION,PHASE_D",17.860000610351562
WABAG.NS,40,"ABSORPTION,PHASE_D",1488.4000244140625
WAAREEENER.NS,40,"ABSORPTION,PHASE_D",3427.800048828125
ACMESOLAR.NS,40,"ABSORPTION,PHASE_D",303.54998779296875
ABREL.NS,40,"ABSORPTION,PHASE_D",1413.9000244140625
ABCAPITAL.NS,40,"ABSORPTION,PHASE_D",350.70001220703125
AAVAS.NS,40,"ABSORPTION,PHASE_D",1392.0
AGARWALEYE.NS,40,"ABSORPTION,PHASE_D",461.1499938964844
AERONEU.NS,40,"ABSORPTION,PHASE_D",82.25
AEROENTER.NS,40,"ABSORPTION,PHASE_D",90.9499969482422
HONASA.NS,40,"ABSORPTION,PHASE_D",346.75
HERITGFOOD.NS,40,"ABSORPTION,PHASE_D",366.7999877929688
HEG.NS,40,"ABSORPTION,PHASE_D",661.5999755859375
INDIASHLTR.NS,40,"ABSORPTION,PHASE_D",811.4500122070312
INDOBORAX.NS,40,"ABSORPTION,PHASE_D",254.5
GRSE.NS,40,"ABSORPTION,PHASE_D",2817.800048828125
ALIVUS.NS,40,"ABSORPTION,PHASE_D",1056.8499755859375
ALMONDZ.NS,40,"ABSORPTION,PHASE_D",16.979999542236328
AMBER.NS,40,"ABSORPTION,PHASE_D",7803.5
VALIANTLAB.NS,40,"ABSORPTION,PHASE_D",67.5
VEDL.NS,40,"ABSORPTION,PHASE_D",757.0
VENUSPIPES.NS,40,"ABSORPTION,PHASE_D",1356.6500244140625
VGUARD.NS,40,"ABSORPTION,PHASE_D",332.95001220703125
VIJAYA.NS,40,"ABSORPTION,PHASE_D",1040.800048828125
VISHNU.NS,40,"ABSORPTION,PHASE_D",599.5
VMART.NS,40,"ABSORPTION,PHASE_D",645.8499755859375
VMM.NS,40,"ABSORPTION,PHASE_D",124.55999755859376
ADANIGREEN.NS,40,"ABSORPTION,PHASE_D",1198.949951171875
ADANIPORTS.NS,40,"ABSORPTION,PHASE_D",1588.5999755859375
RAMKY.NS,40,"ABSORPTION,PHASE_D",513.9000244140625
RBA.NS,40,"ABSORPTION,PHASE_D",63.81999969482422
RCF.NS,40,"ABSORPTION,PHASE_D",132.77999877929688
RECLTD.NS,40,"ABSORPTION,PHASE_D",383.3500061035156
REFEX.NS,40,"ABSORPTION,PHASE_D",260.75
BRNL.NS,40,"ABSORPTION,PHASE_D",21.1200008392334
BSE.NS,40,"ABSORPTION,PHASE_D",3499.199951171875
CAMS.NS,40,"ABSORPTION,PHASE_D",755.5999755859375
CARBORUNIV.NS,40,"ABSORPTION,PHASE_D",941.4000244140624
RIIL.NS,40,"ABSORPTION,PHASE_D",809.4500122070312
RITES.NS,40,"ABSORPTION,PHASE_D",223.6000061035156
ROSSELLIND.NS,40,"ABSORPTION,PHASE_D",52.290000915527344
RPTECH.NS,40,"ABSORPTION,PHASE_D",475.2999877929688
BLSE.NS,40,"ABSORPTION,PHASE_D",178.9199981689453
BODALCHEM.NS,40,"ABSORPTION,PHASE_D",69.68000030517578
BORORENEW.NS,40,"ABSORPTION,PHASE_D",516.75
PRICOLLTD.NS,40,"ABSORPTION,PHASE_D",612.3499755859375
QPOWER.NS,40,"ABSORPTION,PHASE_D",1272.699951171875
SANDUMA.NS,40,"ABSORPTION,PHASE_D",214.0
SANSTAR.NS,40,"ABSORPTION,PHASE_D",89.95999908447266
SARDAEN.NS,40,"ABSORPTION,PHASE_D",591.7999877929688
SATIN.NS,40,"ABSORPTION,PHASE_D",170.39999389648438
SBC.NS,40,"ABSORPTION,PHASE_D",33.369998931884766
SBCL.NS,40,"ABSORPTION,PHASE_D",536.5499877929688
BANSALWIRE.NS,40,"ABSORPTION,PHASE_D",313.4599914550781
QUADFUTURE.NS,40,"ABSORPTION,PHASE_D",324.1000061035156
CASTROLIND.NS,40,"ABSORPTION,PHASE_D",183.33999633789065
CENTURYPLY.NS,40,"ABSORPTION,PHASE_D",777.9000244140625
CESC.NS,40,"ABSORPTION,PHASE_D",180.2700042724609
RAINBOW.NS,40,"ABSORPTION,PHASE_D",1293.800048828125
