date,adj close,close,high,low,open,volume
2023-04-17,105.13720703125,106.19999694824219,108.7750015258789,99.0,99.0,68986
2023-04-18,107.43894958496094,108.5250015258789,111.0250015258789,106.5,111.0,33354
2023-04-19,110.3841781616211,111.5,114.2249984741211,109.25,111.25,39398
2023-04-20,108.67643737792969,109.7750015258789,114.17500305175781,108.5250015258789,114.17500305175781,27418
2023-04-21,106.74595642089844,107.82499694824219,110.25,107.5250015258789,108.0250015258789,15044
2023-04-24,107.88444519042969,108.9749984741211,110.0,107.625,107.625,21310
2023-04-25,108.00819396972656,109.0999984741211,111.0250015258789,109.0,109.4749984741211,12470
2023-04-26,107.90919494628906,109.0,110.0,108.7249984741211,108.75,11176
2023-04-27,107.51319122314453,108.5999984741211,110.42500305175781,108.5250015258789,109.5,16826
2023-04-28,109.5921859741211,110.69999694824219,110.9749984741211,108.9000015258789,110.0,15746
2023-05-02,109.46842956542969,110.57499694824219,111.875,109.5,111.875,13538
2023-05-03,109.2951889038086,110.4000015258789,111.2249984741211,109.375,111.0,11504
2023-05-04,108.10719299316406,109.19999694824219,111.17500305175781,108.05000305175781,111.17500305175781,15630
2023-05-05,107.8102035522461,108.9000015258789,109.7249984741211,105.30000305175781,105.30000305175781,9116
2023-05-08,108.65169525146484,109.75,112.2249984741211,109.05000305175781,109.25,12146
2023-05-09,108.55268859863281,109.6500015258789,111.2249984741211,108.5250015258789,109.5,19584
2023-05-10,102.41473388671875,103.44999694824219,111.2249984741211,100.0,111.0,73402
2023-05-11,105.85496520996094,106.92500305175781,107.875,102.6500015258789,103.94999694824219,20328
2023-05-12,106.54795837402344,107.625,108.5,104.25,104.5,17290
2023-05-15,117.19037628173828,118.375,118.375,108.5,109.9000015258789,101798
2023-05-16,128.08030700683594,129.375,130.1750030517578,121.5250015258789,128.47500610351562,157660
2023-05-17,116.72013092041016,117.9000015258789,129.97500610351562,116.44999694824219,129.97500610351562,161664
2023-05-18,116.24988555908203,117.42500305175781,123.4000015258789,117.0,120.5,39972
2023-05-19,110.0871810913086,111.19999694824219,122.0,108.125,122.0,110818
2023-05-22,107.31520080566406,108.4000015258789,112.4000015258789,106.2750015258789,112.4000015258789,58854
2023-05-23,107.6369400024414,108.7249984741211,115.0,108.125,108.9749984741211,57324
2023-05-24,110.63167572021484,111.75,114.0,106.5250015258789,108.5,21790
2023-05-25,112.2899169921875,113.42500305175781,114.75,111.7750015258789,114.75,26126
2023-05-26,112.14141845703125,113.2750015258789,115.0250015258789,111.30000305175781,114.5,32550
2023-05-29,108.08245086669922,109.17500305175781,115.25,107.5,113.2750015258789,60088
2023-05-30,105.78070831298828,106.8499984741211,112.0,105.75,112.0,57468
2023-05-31,104.7659683227539,105.82499694824219,111.0,105.0250015258789,111.0,39640
2023-06-01,107.36469268798828,108.44999694824219,111.0,105.82499694824219,105.82499694824219,35692
2023-06-02,109.74067687988281,110.8499984741211,112.0,108.05000305175781,110.3499984741211,56258
2023-06-05,111.32466125488281,112.44999694824219,114.0,109.9749984741211,112.4749984741211,43844
2023-06-06,112.66116333007812,113.80000305175781,114.5,112.0,114.5,19144
2023-06-07,111.79491424560547,112.92500305175781,115.3499984741211,112.32499694824219,113.5,27008
2023-06-08,109.36943054199219,110.4749984741211,113.7249984741211,109.55000305175781,113.7249984741211,40192
2023-06-09,107.85969543457031,108.94999694824219,112.4749984741211,108.5250015258789,110.4749984741211,30858
2023-06-12,109.81493377685547,110.92500305175781,111.25,109.55000305175781,110.94999694824219,14460
2023-06-13,110.30992889404297,111.42500305175781,112.19999694824219,110.5250015258789,111.94999694824219,12904
2023-06-14,109.2951889038086,110.4000015258789,112.0,109.57499694824219,110.30000305175781,11064
2023-06-15,108.50318908691406,109.5999984741211,110.9749984741211,109.125,109.125,10718
2023-06-16,109.12193298339844,110.2249984741211,113.69999694824219,109.5,113.69999694824219,31224
2023-06-19,108.55268859863281,109.6500015258789,111.1500015258789,107.9749984741211,110.9749984741211,33690
2023-06-20,110.55742645263672,111.67500305175781,113.25,108.0,108.0999984741211,30564
2023-06-21,105.7559585571289,106.82499694824219,112.69999694824219,105.5,110.80000305175781,49784
2023-06-22,108.75069427490234,109.8499984741211,110.9000015258789,108.32499694824219,109.92500305175781,20610
2023-06-23,107.41419219970703,108.5,111.2249984741211,107.55000305175781,108.5,16850
2023-06-26,109.34468078613281,110.44999694824219,113.0,109.5250015258789,113.0,18478
2023-06-27,109.22093200683594,110.32499694824219,112.0,109.0,112.0,17100
2023-06-28,109.44368743896484,110.55000305175781,111.19999694824219,109.5250015258789,110.82499694824219,10740
2023-06-30,108.37944030761719,109.4749984741211,112.5,107.55000305175781,112.5,26934
2023-07-03,109.39418029785156,110.5,111.0,109.125,111.0,13254
2023-07-04,108.75069427490234,109.8499984741211,110.9749984741211,108.57499694824219,108.80000305175781,18584
2023-07-05,115.43313598632812,116.5999984741211,119.9000015258789,109.0,109.0,101162
2023-07-06,121.39784240722656,122.625,128.25,117.625,117.75,169982
2023-07-07,117.2646255493164,118.44999694824219,125.0,115.57499694824219,125.0,67758
2023-07-10,115.80438232421875,116.9749984741211,121.0,116.0250015258789,121.0,22792
