,Date,Adj close,Close,High,Low,Open,Volume
0,2024-12-27,629.3204956054688,630.0,630.0,600.0,600.0,2646195
1,2024-12-30,597.8544311523438,598.5,630.0,598.5,628.0,489354
2,2024-12-31,567.9567260742188,568.5700073242188,568.5700073242188,568.5700073242188,568.5700073242188,33507
3,2025-01-01,539.6173706054688,540.2000122070312,557.2000122070312,540.2000122070312,540.2000122070312,782669
4,2025-01-02,566.5882568359375,567.2000122070312,567.2000122070312,513.2000122070312,513.2000122070312,1048139
5,2025-01-03,547.30908203125,547.9000244140625,563.2999877929688,541.2000122070312,552.5,471969
6,2025-01-06,519.9385986328125,520.5,538.8499755859375,520.5,534.0,164745
7,2025-01-07,522.0363159179688,522.5999755859375,535.0,494.5,494.5,664338
8,2025-01-08,495.9644775390625,496.5,520.0,496.5,515.0,269409
9,2025-01-09,472.5397644042969,473.04998779296875,490.0,471.70001220703125,490.0,441508
10,2025-01-10,447.3169860839844,447.79998779296875,492.0,437.04998779296875,474.8999938964844,881281
11,2025-01-13,423.59259033203125,424.04998779296875,463.45001220703125,412.79998779296875,435.5,675413
12,2025-01-14,424.9911193847656,425.45001220703125,437.45001220703125,416.79998779296875,424.04998779296875,477131
13,2025-01-15,509.9493713378906,510.5,510.5,426.1499938964844,431.0,4428743
14,2025-01-16,523.8843383789062,524.4500122070312,552.9500122070312,492.5,512.0,5403305
15,2025-01-17,519.638916015625,520.2000122070312,539.0999755859375,488.0,515.0,1710325
16,2025-01-20,478.73309326171875,479.25,491.6000061035156,471.54998779296875,471.54998779296875,1238776
17,2025-01-21,453.410400390625,453.8999938964844,484.1000061035156,444.1000061035156,483.0,686038
18,2025-01-22,432.4330749511719,432.8999938964844,456.25,427.04998779296875,453.8999938964844,518710
19,2025-01-23,405.7618713378906,406.20001220703125,435.0,402.3500061035156,435.0,1393503
20,2025-01-24,420.8455810546875,421.29998779296875,439.1499938964844,406.1000061035156,408.0,1425995
21,2025-01-27,395.3231506347656,395.75,418.0,388.0,418.0,509502
22,2025-01-28,400.267822265625,400.70001220703125,409.70001220703125,373.5,400.0,823044
23,2025-01-29,415.30157470703125,415.75,421.29998779296875,403.0,407.0,499641
24,2025-01-30,406.21136474609375,406.6499938964844,424.0,402.1000061035156,418.75,302471
25,2025-01-31,411.4557189941406,411.8999938964844,420.0,405.04998779296875,408.04998779296875,239321
26,2025-02-01,421.4949035644531,421.95001220703125,427.0,409.0,415.5,321672
27,2025-02-03,405.2624206542969,405.70001220703125,418.0,396.6000061035156,418.0,223177
28,2025-02-04,411.20599365234375,411.6499938964844,416.79998779296875,408.04998779296875,412.70001220703125,171054
29,2025-02-05,421.4449157714844,421.8999938964844,428.0,412.5,412.5,286721
30,2025-02-06,465.8969421386719,466.3999938964844,473.0,413.45001220703125,422.5,1922837
31,2025-02-07,447.9163513183594,448.3999938964844,459.04998779296875,442.1000061035156,453.04998779296875,531162
32,2025-02-10,426.63934326171875,427.1000061035156,448.3999938964844,419.29998779296875,448.3999938964844,326122
33,2025-02-11,410.2070617675781,410.6499938964844,423.25,402.25,421.5,402308
34,2025-02-12,411.50567626953125,411.95001220703125,424.8999938964844,392.3999938964844,408.0,692305
35,2025-02-13,405.86175537109375,406.29998779296875,422.45001220703125,403.0,418.70001220703125,331220
36,2025-02-14,386.6824645996094,387.1000061035156,413.0,381.70001220703125,410.04998779296875,358979
37,2025-02-17,381.03857421875,381.45001220703125,388.8999938964844,367.29998779296875,387.1499938964844,322418
38,2025-02-18,373.34686279296875,373.75,385.8500061035156,364.29998779296875,385.1000061035156,269343
39,2025-02-19,387.3317565917969,387.75,390.70001220703125,367.0,372.95001220703125,201611
40,2025-02-20,396.37200927734375,396.79998779296875,398.3500061035156,379.0,385.0,187371
41,2025-02-21,387.5815124511719,388.0,408.70001220703125,384.8500061035156,396.79998779296875,179604
42,2025-02-24,380.4891662597656,380.8999938964844,384.1499938964844,370.79998779296875,380.0,154472
43,2025-02-25,385.433837890625,385.8500061035156,391.95001220703125,377.0,377.0,175619
44,2025-02-27,373.94622802734375,374.3500061035156,388.95001220703125,371.0,388.8999938964844,106502
45,2025-02-28,363.6073913574219,364.0,371.0,358.25,368.75,155398
46,2025-03-03,350.7213134765625,351.1000061035156,375.0,340.1000061035156,369.0,232173
47,2025-03-04,337.98504638671875,338.3500061035156,356.8999938964844,335.1000061035156,345.5,303512
48,2025-03-05,342.5301513671875,342.8999938964844,352.79998779296875,340.0,340.0,244000
49,2025-03-06,359.16217041015625,359.54998779296875,365.0,343.0,355.0,328387
50,2025-03-07,377.4924011230469,377.8999938964844,387.5,355.1000061035156,357.79998779296875,596709
51,2025-03-10,349.8222961425781,350.20001220703125,379.79998779296875,345.6499938964844,377.8999938964844,303841
52,2025-03-11,353.0188293457031,353.3999938964844,360.0,342.0,349.95001220703125,292064
53,2025-03-12,347.17510986328125,347.54998779296875,356.3999938964844,346.0,352.6000061035156,175282
54,2025-03-13,345.6767272949219,346.04998779296875,352.8500061035156,343.0,350.20001220703125,200525
55,2025-03-17,339.6332702636719,340.0,349.0,339.1000061035156,348.6000061035156,119198
56,2025-03-18,339.6332702636719,340.0,340.0,340.0,340.0,0
57,2025-03-19,365.70513916015625,366.1000061035156,374.20001220703125,350.3500061035156,352.0,398600
58,2025-03-20,365.45538330078125,365.8500061035156,376.0,359.29998779296875,369.0,210799
59,2025-03-21,393.2753601074219,393.70001220703125,422.79998779296875,362.54998779296875,365.8500061035156,2871757
60,2025-03-24,395.9724426269531,396.3999938964844,406.0,387.0,389.04998779296875,647745
61,2025-03-25,363.25775146484375,363.6499938964844,402.3500061035156,360.29998779296875,399.8999938964844,860195
62,2025-03-26,351.27069091796875,351.6499938964844,376.8999938964844,350.1000061035156,367.5,595466
63,2025-03-27,368.90167236328125,369.29998779296875,372.0,347.0,354.45001220703125,613300
64,2025-03-28,361.4097595214844,361.79998779296875,381.1499938964844,358.29998779296875,374.6000061035156,340131
65,2025-04-01,361.7593688964844,362.1499938964844,369.3500061035156,358.04998779296875,362.95001220703125,202454
66,2025-04-02,364.50640869140625,364.8999938964844,367.0,352.8500061035156,362.1000061035156,175524
67,2025-04-03,366.8538818359375,367.25,376.70001220703125,356.6000061035156,356.6000061035156,329673
68,2025-04-04,351.1208801269531,351.5,366.95001220703125,347.8999938964844,366.95001220703125,375589
69,2025-04-07,332.8406066894531,333.20001220703125,336.0,311.54998779296875,321.0,268859
70,2025-04-08,345.3770751953125,345.75,348.0,334.0,342.95001220703125,199249
71,2025-04-09,338.4845275878906,338.8500061035156,347.0,335.3999938964844,347.0,103854
72,2025-04-11,343.2793273925781,343.6499938964844,349.75,341.20001220703125,349.75,94845
73,2025-04-15,353.8678894042969,354.25,357.0,346.8500061035156,348.79998779296875,180224
74,2025-04-16,375.79425048828125,376.20001220703125,379.79998779296875,353.6499938964844,356.8999938964844,637133
75,2025-04-17,376.2437438964844,376.6499938964844,383.95001220703125,368.1499938964844,375.1000061035156,414277
76,2025-04-21,390.8779296875,391.29998779296875,394.0,373.6499938964844,378.1499938964844,448176
77,2025-04-22,386.133056640625,386.54998779296875,395.04998779296875,378.1000061035156,391.5,223204
78,2025-04-23,389.8290710449219,390.25,392.0,381.1499938964844,389.3999938964844,195693
79,2025-04-24,383.8355407714844,384.25,394.8500061035156,382.0,390.25,139111
80,2025-04-25,377.5423583984375,377.95001220703125,389.0,362.25,383.0,247962
81,2025-04-28,380.1894836425781,380.6000061035156,383.70001220703125,370.3500061035156,375.20001220703125,109143
82,2025-04-29,384.68463134765625,385.1000061035156,387.95001220703125,380.1000061035156,381.0,154549
83,2025-04-30,372.1481628417969,372.54998779296875,386.79998779296875,366.25,385.1499938964844,97277
84,2025-05-02,358.4129943847656,358.79998779296875,375.3500061035156,357.20001220703125,370.0,100790
85,2025-05-05,365.005859375,365.3999938964844,368.5,356.5,361.75,105360
86,2025-05-06,343.9286193847656,344.29998779296875,369.95001220703125,338.6000061035156,369.95001220703125,188993
87,2025-05-07,342.0306701660156,342.3999938964844,347.0,335.6499938964844,343.0,187187
88,2025-05-08,345.1273498535156,345.5,354.1499938964844,343.0,343.3999938964844,160519
89,2025-05-09,338.4845275878906,338.8500061035156,342.54998779296875,332.0,340.0,149730
90,2025-05-12,366.7539978027344,367.1499938964844,372.8999938964844,349.04998779296875,349.04998779296875,367638
91,2025-05-13,368.4521484375,368.8500061035156,372.6499938964844,365.0,367.1499938964844,88216
92,2025-05-14,369.6009216308594,370.0,376.70001220703125,368.0,370.5,101043
93,2025-05-15,370.4000549316406,370.79998779296875,376.5,369.1499938964844,371.0,91293
94,2025-05-16,376.8431091308594,377.25,381.8999938964844,369.75,371.5,200034
95,2025-05-19,377.59228515625,378.0,385.0,373.8999938964844,377.25,107595
96,2025-05-20,367.8028564453125,368.20001220703125,380.20001220703125,366.3999938964844,380.0,127433
97,2025-05-21,367.30340576171875,367.70001220703125,373.95001220703125,365.1000061035156,368.5,64593
98,2025-05-22,364.1567687988281,364.54998779296875,369.79998779296875,362.6000061035156,367.0,54460
99,2025-05-23,383.8355407714844,384.25,387.0,363.0,366.29998779296875,527317
100,2025-05-26,391.1276550292969,391.54998779296875,401.95001220703125,381.54998779296875,385.04998779296875,636466
101,2025-05-27,400.5674743652344,401.0,404.3999938964844,385.8999938964844,388.20001220703125,464118
102,2025-05-28,413.2038269042969,413.6499938964844,421.5,407.0,407.95001220703125,820864
103,2025-05-29,456.5570068359375,457.04998779296875,474.1499938964844,428.54998779296875,433.0,5076256
104,2025-05-30,440.5243225097656,441.0,458.3999938964844,436.20001220703125,451.8999938964844,598915
105,2025-06-02,442.12261962890625,442.6000061035156,454.0,432.04998779296875,440.0,614728
106,2025-06-03,441.9727783203125,442.45001220703125,462.0,440.0,444.5,892813
107,2025-06-04,459.35400390625,459.8500061035156,468.0,441.95001220703125,444.5,835704
108,2025-06-05,458.9544372558594,459.45001220703125,472.54998779296875,458.0,462.0,430974
