,Date,Adj close,Close,High,Low,Open,Volume
0,2023-04-24,192.0182342529297,195.85000610351562,196.6999969482422,194.8000030517578,196.5,5017631
1,2023-04-25,193.7830047607422,197.64999389648438,198.8000030517578,195.35000610351562,195.85000610351562,5957551
2,2023-04-26,194.32225036621094,198.1999969482422,198.9499969482422,196.14999389648438,197.64999389648438,4910837
3,2023-04-27,194.6163787841797,198.5,199.9499969482422,197.64999389648438,198.4499969482422,5215692
4,2023-04-28,197.16551208496094,201.10000610351562,201.5500030517578,199.0,199.5,7951645
5,2023-05-02,197.80279541015625,201.75,202.9499969482422,200.39999389648438,201.9499969482422,6881245
6,2023-05-03,199.81268310546875,203.8000030517578,204.25,200.4499969482422,201.8000030517578,8641713
7,2023-05-04,199.86170959472656,203.85000610351562,204.5500030517578,202.10000610351562,203.89999389648438,8211667
8,2023-05-05,196.2340850830078,200.14999389648438,205.60000610351562,199.39999389648438,203.89999389648438,16337389
9,2023-05-08,198.7342071533203,202.6999969482422,203.1999969482422,199.5,201.5,7724617
10,2023-05-09,199.3224639892578,203.3000030517578,205.10000610351562,202.39999389648438,203.75,7956883
11,2023-05-10,200.15585327148438,204.14999389648438,204.4499969482422,202.1999969482422,203.5,5026713
12,2023-05-11,202.26377868652344,206.3000030517578,207.1999969482422,204.14999389648438,204.5,8986218
13,2023-05-12,202.9990997314453,207.0500030517578,207.8000030517578,206.14999389648438,206.85000610351562,7304524
14,2023-05-15,204.07757568359375,208.14999389648438,209.39999389648438,206.4499969482422,207.64999389648438,6740655
15,2023-05-16,207.21498107910156,211.35000610351562,215.0,208.1999969482422,208.85000610351562,18196503
16,2023-05-17,203.68540954589844,207.75,212.39999389648438,206.85000610351562,212.39999389648438,9107799
17,2023-05-18,200.59706115722656,204.60000610351562,209.6999969482422,204.10000610351562,209.0,8248339
18,2023-05-19,201.8225860595703,205.85000610351562,206.5,201.8000030517578,206.3000030517578,9002705
19,2023-05-22,202.1657257080078,206.1999969482422,206.89999389648438,204.10000610351562,206.0,5577418
20,2023-05-23,202.85203552246094,206.89999389648438,207.4499969482422,205.5,206.5,5017652
21,2023-05-24,203.09713745117188,207.14999389648438,208.0,205.5500030517578,206.64999389648438,5447203
22,2023-05-25,206.67575073242188,210.8000030517578,211.1999969482422,206.5500030517578,207.1999969482422,8705559
23,2023-05-26,208.04835510253906,212.1999969482422,213.8000030517578,210.64999389648438,212.25,8476048
24,2023-05-29,212.75442504882812,217.0,217.6999969482422,211.6999969482422,213.0,12956419
25,2023-05-30,212.65638732910156,216.89999389648438,218.4499969482422,215.0,218.0,11975300
26,2023-05-31,209.37193298339844,213.5500030517578,219.0,212.89999389648438,216.89999389648438,11299432
27,2023-06-01,211.0876922607422,215.3000030517578,217.0,213.0,213.9499969482422,6324964
28,2023-06-02,211.4308319091797,215.64999389648438,216.89999389648438,215.0,216.39999389648438,4908437
29,2023-06-05,214.7643280029297,219.0500030517578,219.39999389648438,216.14999389648438,217.0,8688870
30,2023-06-06,212.5093231201172,216.75,219.8000030517578,215.5500030517578,219.8000030517578,8301040
31,2023-06-07,216.17071533203125,218.4499969482422,219.64999389648438,214.10000610351562,216.60000610351562,11387499
32,2023-06-08,218.34776306152344,220.64999389648438,226.1999969482422,218.4499969482422,218.9499969482422,31056302
33,2023-06-09,218.89202880859375,221.1999969482422,224.60000610351562,220.1999969482422,224.60000610351562,11045069
34,2023-06-12,218.64462280273438,220.9499969482422,223.5500030517578,220.35000610351562,221.9499969482422,6342344
35,2023-06-13,219.4857635498047,221.8000030517578,222.8000030517578,220.85000610351562,221.5,6249947
36,2023-06-14,221.8112335205078,224.14999389648438,225.25,221.5500030517578,222.5,10509540
37,2023-06-15,218.2982940673828,220.60000610351562,224.64999389648438,220.14999389648438,224.39999389648438,7665159
38,2023-06-16,219.93106079101562,222.25,223.6999969482422,220.89999389648438,221.89999389648438,7136739
39,2023-06-19,220.82167053222656,223.14999389648438,224.14999389648438,221.0,223.0,7473608
40,2023-06-20,222.6029052734375,224.9499969482422,226.35000610351562,222.60000610351562,223.10000610351562,11221842
41,2023-06-21,221.95968627929688,224.3000030517578,226.0,222.60000610351562,225.25,6987933
42,2023-06-22,218.79307556152344,221.10000610351562,225.14999389648438,220.5,224.85000610351562,6857007
43,2023-06-23,216.0222930908203,218.3000030517578,222.10000610351562,215.6999969482422,222.0,10890426
44,2023-06-26,216.31915283203125,218.60000610351562,219.35000610351562,216.3000030517578,218.3000030517578,5136478
45,2023-06-27,216.96237182617188,219.25,220.5,218.60000610351562,218.89999389648438,4694432
46,2023-06-28,215.77488708496094,218.0500030517578,220.9499969482422,217.5500030517578,219.9499969482422,8345362
47,2023-06-30,219.53524780273438,221.85000610351562,222.5,218.85000610351562,219.6999969482422,9940002
48,2023-07-03,219.584716796875,221.89999389648438,224.1999969482422,221.60000610351562,222.89999389648438,5792956
49,2023-07-04,218.34776306152344,220.64999389648438,223.3000030517578,220.1999969482422,222.10000610351562,4598056
50,2023-07-05,219.3867950439453,221.6999969482422,223.75,220.5500030517578,220.9499969482422,5879342
51,2023-07-06,227.2043914794922,229.60000610351562,230.3000030517578,223.5500030517578,225.0,30885511
52,2023-07-07,225.62107849121094,228.0,232.35000610351562,226.10000610351562,229.8000030517578,16592198
53,2023-07-10,222.6523895263672,225.0,229.25,224.64999389648438,229.25,7143637
54,2023-07-11,223.14715576171875,225.5,226.85000610351562,224.6999969482422,226.0,5156417
55,2023-07-12,223.93881225585938,226.3000030517578,227.25,225.1999969482422,226.25,7366992
56,2023-07-13,219.53524780273438,221.85000610351562,227.1999969482422,220.89999389648438,227.0,9389403
57,2023-07-14,218.74359130859375,221.0500030517578,222.75,218.5500030517578,222.75,10191602
58,2023-07-17,221.16802978515625,223.5,224.6999969482422,221.25,221.9499969482422,7071156
59,2023-07-18,219.18890380859375,221.5,224.3000030517578,220.75,224.1999969482422,6695221
60,2023-07-19,217.2097625732422,219.5,221.39999389648438,217.5,221.39999389648438,14481130
61,2023-07-20,215.87384033203125,218.14999389648438,220.64999389648438,217.75,219.8000030517578,6910107
62,2023-07-21,215.1316680908203,217.39999389648438,219.1999969482422,216.75,218.14999389648438,5715378
63,2023-07-24,215.08221435546875,217.35000610351562,218.75,216.8000030517578,218.25,4387406
64,2023-07-25,217.1602783203125,219.4499969482422,220.5,217.5,217.5,7602866
65,2023-07-26,219.18890380859375,221.5,222.39999389648438,219.8000030517578,220.39999389648438,8511027
66,2023-07-27,218.59515380859375,220.89999389648438,222.5500030517578,220.5,222.25,7845672
