date,adj close,close,high,low,open,volume
2023-04-17,22108.583984375,22966.30078125,23000.0,22750.0,22920.05078125,2138
2023-04-18,21986.0390625,22839.0,22999.69921875,22766.5,22978.0,1136
2023-04-19,21926.78515625,22777.44921875,22978.94921875,22700.0,22919.0,970
2023-04-20,21782.771484375,22627.849609375,22878.0,22540.0,22878.0,3268
2023-04-21,21513.279296875,22347.900390625,22714.69921875,22300.0,22658.900390625,1055
2023-04-24,21575.896484375,22412.94921875,22765.5,22125.25,22400.0,6232
2023-04-25,21463.5078125,22296.19921875,22800.0,22160.75,22382.94921875,23477
2023-04-26,21588.169921875,22425.69921875,22550.0,22259.349609375,22296.19921875,3083
2023-04-27,21767.275390625,22611.75,22650.0,22327.099609375,22449.94921875,2202
2023-04-28,21706.095703125,22548.19921875,22679.94921875,22296.19921875,22600.099609375,2270
2023-05-02,21553.8046875,22390.0,22580.0,22356.0,22548.19921875,2285
2023-05-03,22156.666015625,23016.25,23100.0,22201.0,22359.94921875,3358
2023-05-04,22651.1796875,23529.94921875,23666.599609375,22862.150390625,23000.0,9294
2023-05-05,22514.1015625,23387.55078125,23794.0,23200.0,23500.0,3118
2023-05-08,22897.33203125,23785.650390625,24076.19921875,23400.0,23400.0,2469
2023-05-09,23033.8359375,23927.44921875,24089.900390625,23785.05078125,23785.650390625,13938
2023-05-10,22785.134765625,23669.099609375,24113.400390625,23550.099609375,24098.94921875,1289
2023-05-11,22719.8671875,23601.30078125,23999.80078125,23511.0,23800.0,1238
2023-05-12,22618.11328125,23495.599609375,23948.650390625,23251.05078125,23602.400390625,9516
2023-05-15,22365.755859375,23233.44921875,23617.650390625,23195.0,23534.44921875,4389
2023-05-16,22429.09765625,23299.25,23384.400390625,23201.0,23205.0,7150
2023-05-17,22442.09375,23312.75,23469.900390625,23001.0,23207.0,1948
2023-05-18,22490.802734375,23363.349609375,23500.0,23312.75,23312.80078125,620
2023-05-19,23018.8671875,23911.900390625,24004.0,23340.0,23398.05078125,2607
2023-05-22,23396.564453125,24304.25,24439.849609375,23854.849609375,23911.900390625,3854
2023-05-23,23163.890625,24062.55078125,24299.94921875,23904.099609375,24299.94921875,1770
2023-05-24,23376.25390625,24283.150390625,24400.0,24044.44921875,24062.55078125,0
2023-05-25,23067.14453125,23962.05078125,24400.0,23828.25,24283.150390625,1093
2023-05-26,23312.142578125,24216.55078125,24600.0,23823.849609375,23962.0,3086
2023-05-29,23245.427734375,24147.25,24341.44921875,23939.94921875,24226.5,1365
