symbol,score
21STCENMGM.NS,15.0
3IINFOLTD.NS,15.0
63MOONS.NS,15.0
AADHARHFC.NS,15.0
AARTECH.NS,15.0
AARTISURF.NS,15.0
AARVI.NS,15.0
ABCAPITAL.NS,15.0
ABDL.NS,15.0
ABFRL.NS,15.0
ABSLAMC.NS,15.0
ACEINTEG.NS,15.0
ACI.NS,15.0
ACL.NS,15.0
ACMESOLAR.NS,15.0
ADANIENSOL.NS,15.0
ADROITINFO.NS,15.0
ADVENZYMES.NS,15.0
AEGISLOG.NS,15.0
AEROFLEX.NS,15.0
AERONEU.NS,15.0
AETHER.NS,15.0
AFCONS.NS,15.0
AFSL.NS,15.0
AGARWALEYE.NS,15.0
AHLADA.NS,15.0
AHLEAST.NS,15.0
AIRAN.NS,15.0
AJAXENGG.NS,15.0
AJOONI.NS,15.0
AKASH.NS,15.0
AKI.NS,15.0
AKSHAR.NS,15.0
AKSHARCHEM.NS,15.0
AKUMS.NS,15.0
ALANKIT.NS,15.0
ALIVUS.NS,15.0
ALKALI.NS,15.0
ALLCARGO.NS,15.0
ALLDIGI.NS,15.0
ALOKINDS.NS,15.0
AMNPLST.NS,15.0
ANDHRAPAP.NS,15.0
ANMOL.NS,15.0
ANUHPHR.NS,15.0
APCL.NS,15.0
APEX.NS,15.0
APTECHT.NS,15.0
APTUS.NS,15.0
AQYLON.NS,15.0
ARCHIES.NS,15.0
ARE&M.NS,15.0
ARKADE.NS,15.0
AROGRANITE.NS,15.0
ARROWGREEN.NS,15.0
ARVINDFASN.NS,15.0
ASHOKAMET.NS,15.0
ASMS.NS,15.0
ASPINWALL.NS,15.0
ATAM.NS,15.0
ATL.NS,15.0
ATLANTAA.NS,15.0
ATLASCYCLE.NS,15.0
AURUM.NS,15.0
AUTOIND.NS,15.0
AVANTEL.NS,15.0
AVG.NS,15.0
AVL.NS,15.0
AWFIS.NS,15.0
AWHCL.NS,15.0
AWL.NS,15.0
AXITA.NS,15.0
BAGFILMS.NS,15.0
BAIDFIN.NS,15.0
BAJAJHCARE.NS,15.0
BAJAJHFL.NS,15.0
BAJAJHIND.NS,15.0
BAJAJINDEF.NS,15.0
BAJEL.NS,15.0
BALAJEE.NS,15.0
BALKRISHNA.NS,15.0
BANDHANBNK.NS,15.0
BANG.NS,15.0
BANKINDIA.NS,15.0
BANSALWIRE.NS,15.0
BASML.NS,15.0
BESTAGRO.NS,15.0
BFUTILITIE.NS,15.0
BHARATSE.NS,15.0
BHEL.NS,15.0
BLACKBUCK.NS,15.0
BLAL.NS,15.0
BLSE.NS,15.0
BLUEJET.NS,15.0
BOROSCI.NS,15.0
BRNL.NS,15.0
CAMLINFINE.NS,15.0
CAMPUS.NS,15.0
CANBK.NS,15.0
CAPACITE.NS,15.0
CAPITALSFB.NS,15.0
CARRARO.NS,15.0
CARTRADE.NS,15.0
CCCL.NS,15.0
CCHHL.NS,15.0
CEIGALL.NS,15.0
CELEBRITY.NS,15.0
CELLO.NS,15.0
CENTRALBK.NS,15.0
CENTRUM.NS,15.0
CEWATER.NS,15.0
CHEMCON.NS,15.0
CHEMPLASTS.NS,15.0
CHEVIOT.NS,15.0
CLEAN.NS,15.0
CMSINFO.NS,15.0
COALINDIA.NS,15.0
COASTCORP.NS,15.0
COFFEEDAY.NS,15.0
COMPUSOFT.NS,15.0
COMSYN.NS,15.0
CONCORDBIO.NS,15.0
